id,cnpj,municipio,mesorregiao,setor,porte,natureza_juridica,capital_social,num_funcionarios,faturamento_anual_estimado,data_abertura,situacao,data_situacao
20,43.487.347/1434-55,Imbituba,Sul Catarinense,Tecnologia da informação,Média,Sociedade Anônima Fechada,40935318.86,179,42341726.47,2025-11-14,Ativa,
21,69.096.705/4668-89,Indaial,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,14421.96,0,40625.88,2020-09-17,Ativa,
22,99.016.272/0465-37,Indaial,Vale do Itajaí,Construção civil,MEI,Empresário Individual,8388.29,1,69994.89,2019-04-29,Baixada,2020-06-30
23,00.330.923/2719-37,Blumenau,Vale do Itajaí,Transporte e logística,MEI,Empresário Individual,16863.31,1,13337.45,2021-10-30,Ativa,
24,66.319.314/9190-58,São José,Grande Florianópolis,Transporte e logística,MEI,Empresário Individual,15778.05,0,78565.73,2020-04-14,Suspensa,
25,62.849.877/6945-31,Criciúma,Sul Catarinense,Serviços profissionais,MEI,Empresário Individual,17141.94,1,19282.18,2019-02-21,Ativa,
26,54.948.083/1367-83,Blumenau,Vale do Itajaí,Construção civil,ME,Sociedade Limitada,243865.96,6,89007.3,2025-11-04,Suspensa,
27,68.557.444/3135-18,São José,Grande Florianópolis,Saúde e bem-estar,MEI,Empresário Individual,6590.48,1,59733.31,2020-01-17,Ativa,
28,24.008.427/1094-77,Mafra,Norte Catarinense,Indústria têxtil e vestuário,MEI,Empresário Individual,14767.12,1,69451.36,2022-02-06,Baixada,2022-11-28
29,41.318.699/9386-77,Criciúma,Sul Catarinense,Comércio varejista,MEI,Empresário Individual,16620.2,1,17111.67,2020-04-12,Baixada,2023-04-14
30,28.120.679/7403-44,Blumenau,Vale do Itajaí,Tecnologia da informação,MEI,Empresário Individual,2144.38,0,77383.72,2025-12-18,Suspensa,
31,10.249.947/1746-48,Palhoça,Grande Florianópolis,Construção civil,ME,Sociedade Limitada,241414.06,4,199613.77,2025-08-12,Ativa,
32,49.027.874/2967-17,Jaraguá do Sul,Norte Catarinense,Serviços profissionais,ME,Sociedade Limitada,221299.77,1,106480.2,2022-08-13,Ativa,
33,54.516.808/7603-85,Blumenau,Vale do Itajaí,Alimentação e bebidas,ME,Sociedade Limitada,154075.78,8,161412.76,2022-09-12,Ativa,
34,93.248.086/1317-12,Balneário Camboriú,Vale do Itajaí,Construção civil,MEI,Empresário Individual,6074.07,0,76009.42,2021-04-13,Ativa,
35,21.465.840/4499-72,Itajaí,Vale do Itajaí,Indústria têxtil e vestuário,MEI,Empresário Individual,16859.75,1,28817.43,2023-08-29,Ativa,
36,57.662.702/8951-71,Criciúma,Sul Catarinense,Construção civil,MEI,Empresário Individual,9651.55,1,79673.45,2023-03-26,Baixada,2024-07-14
37,86.578.091/3431-61,Itajaí,Vale do Itajaí,Construção civil,ME,Sociedade Limitada,36189.89,5,175458.58,2020-09-24,Ativa,
38,69.222.196/9379-23,Tubarão,Sul Catarinense,Indústria têxtil e vestuário,MEI,Empresário Individual,18165.06,0,34381.85,2022-05-11,Ativa,
39,47.436.713/6959-44,Criciúma,Sul Catarinense,Alimentação e bebidas,MEI,Empresário Individual,18122.98,0,17096.47,2024-03-20,Ativa,
40,39.533.942/1047-09,Florianópolis,Grande Florianópolis,Agronegócio,MEI,Empresário Individual,17436.28,0,74832.57,2025-05-07,Ativa,
41,24.745.171/2368-51,Chapecó,Oeste Catarinense,Comércio varejista,EPP,Sociedade Limitada,1139841.91,18,3852116.88,2023-08-29,Ativa,
42,98.593.174/6120-04,Navegantes,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,13783.74,1,38290.76,2023-02-18,Ativa,
43,61.796.405/3773-51,Laguna,Sul Catarinense,Comércio varejista,MEI,Empresário Individual,8384.27,1,77507.27,2020-07-09,Baixada,2024-07-11
44,90.053.293/1839-33,Joaçaba,Oeste Catarinense,Serviços profissionais,EPP,Sociedade Limitada,2127740.01,22,4658838.53,2019-09-06,Ativa,
45,20.539.502/4026-81,Blumenau,Vale do Itajaí,Comércio varejista,EPP,Sociedade Limitada,4171323.2,19,4744621.23,2022-02-09,Ativa,
46,70.076.617/7115-92,Brusque,Vale do Itajaí,Construção civil,ME,Sociedade Limitada,48168.9,9,344770.96,2025-08-28,Ativa,
47,83.673.657/6615-65,Florianópolis,Grande Florianópolis,Alimentação e bebidas,ME,Sociedade Limitada,143316.54,9,207586.6,2022-08-24,Baixada,2024-07-17
48,88.516.560/4945-19,São José,Grande Florianópolis,Serviços profissionais,MEI,Empresário Individual,2733.27,0,41799.48,2019-10-02,Baixada,2020-07-08
49,99.809.402/4455-02,Itajaí,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,17062.09,1,19927.09,2022-12-05,Ativa,
50,99.102.290/1476-79,Caçador,Oeste Catarinense,Tecnologia da informação,MEI,Empresário Individual,2743.4,0,37957.41,2019-05-06,Ativa,
51,90.034.324/4510-76,Criciúma,Sul Catarinense,Alimentação e bebidas,ME,Sociedade Limitada,160469.77,5,270222.79,2022-11-14,Ativa,
52,59.696.641/6052-97,Joinville,Norte Catarinense,Serviços profissionais,ME,Sociedade Limitada,301673.97,6,191782.86,2025-04-07,Baixada,2025-11-30
53,21.818.835/5231-24,São Bento do Sul,Norte Catarinense,Indústria metalúrgica,MEI,Empresário Individual,9277.85,1,48153.42,2021-09-23,Ativa,
54,95.527.177/4490-58,Joinville,Norte Catarinense,Tecnologia da informação,ME,Sociedade Limitada,342952.25,8,210442.91,2020-12-26,Ativa,
55,07.935.978/2071-51,Florianópolis,Grande Florianópolis,Construção civil,MEI,Empresário Individual,2457.89,0,54435.58,2022-03-21,Ativa,
56,51.518.644/9251-92,Itajaí,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,10957.3,0,37726.79,2023-12-05,Ativa,
57,81.685.054/2357-33,Camboriú,Vale do Itajaí,Alimentação e bebidas,ME,Sociedade Limitada,218264.43,2,167373.35,2020-06-12,Ativa,
58,29.270.653/7947-38,Laguna,Sul Catarinense,Comércio varejista,MEI,Empresário Individual,15646.62,0,57673.12,2024-09-10,Ativa,
59,39.240.758/1814-12,Joinville,Norte Catarinense,Indústria alimentícia,ME,Sociedade Limitada,247407.39,8,209808.71,2023-02-15,Ativa,
60,53.615.305/1522-04,Blumenau,Vale do Itajaí,Imobiliário,MEI,Empresário Individual,18981.85,0,68352.52,2020-01-11,Ativa,
61,14.341.036/9711-79,Camboriú,Vale do Itajaí,Construção civil,EPP,Sociedade Limitada,3092146.26,15,1496302.24,2024-01-12,Baixada,2024-05-19
62,18.888.806/7065-40,Jaraguá do Sul,Norte Catarinense,Saúde e bem-estar,ME,Sociedade Limitada,160233.61,6,148117.42,2022-04-08,Ativa,
63,77.221.704/3030-54,Blumenau,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,14968.55,1,21205.26,2025-07-11,Ativa,
64,56.676.527/7584-16,Itajaí,Vale do Itajaí,Beleza e estética,MEI,Empresário Individual,15312.53,0,31741.65,2019-05-30,Ativa,
65,57.059.640/1658-20,Florianópolis,Grande Florianópolis,Tecnologia da informação,EPP,Sociedade Limitada,1786178.74,15,3294481.34,2022-04-18,Baixada,2024-05-18
66,55.719.285/6543-10,Joinville,Norte Catarinense,Tecnologia da informação,ME,Sociedade Limitada,33531.68,6,182040.01,2020-06-01,Ativa,
67,21.727.155/1884-42,Brusque,Vale do Itajaí,Construção civil,MEI,Empresário Individual,5973.76,1,26805.36,2020-04-27,Baixada,2023-01-25
68,78.291.146/7866-91,Palhoça,Grande Florianópolis,Indústria metalúrgica,ME,Sociedade Limitada,88484.57,4,301986.32,2024-09-14,Ativa,
69,22.535.841/4384-24,Joinville,Norte Catarinense,Alimentação e bebidas,MEI,Empresário Individual,7545.78,0,41850.66,2024-10-20,Baixada,2025-10-09
70,94.396.907/8447-36,Balneário Camboriú,Vale do Itajaí,Comércio varejista,ME,Sociedade Limitada,63967.99,6,316065.87,2025-07-06,Suspensa,
71,62.588.153/7147-32,Blumenau,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,10200.77,0,53859.56,2023-08-30,Baixada,2025-10-24
72,87.747.016/8733-95,Florianópolis,Grande Florianópolis,Alimentação e bebidas,MEI,Empresário Individual,5717.14,0,68129.97,2023-09-09,Suspensa,
73,09.835.841/6878-49,Florianópolis,Grande Florianópolis,Alimentação e bebidas,ME,Sociedade Limitada,197841.76,2,118367.85,2022-03-16,Baixada,2024-11-12
74,00.025.787/2982-59,São José,Grande Florianópolis,Comércio varejista,Média,Sociedade Anônima Fechada,39949964.19,136,30013999.09,2023-03-09,Ativa,
75,16.940.974/9930-97,Blumenau,Vale do Itajaí,Serviços profissionais,ME,Sociedade Limitada,127730.71,9,229522.81,2025-08-28,Ativa,
76,26.368.970/2838-57,Joinville,Norte Catarinense,Saúde e bem-estar,ME,Sociedade Limitada,297581.45,4,-1,2020-08-28,Ativa,
77,44.375.758/4419-86,Itajaí,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,11379.19,1,45408.43,2022-11-03,Ativa,
78,84.842.199/3308-33,Indaial,Vale do Itajaí,Serviços profissionais,MEI,Empresário Individual,1799.26,0,35899.08,2022-04-04,Ativa,
79,34.540.193/8026-20,Florianópolis,Grande Florianópolis,Serviços profissionais,ME,Sociedade Limitada,11813.51,9,353837.09,2020-07-17,Ativa,
80,28.743.152/7420-54,Laguna,Sul Catarinense,Serviços profissionais,MEI,Empresário Individual,1176.08,0,76063.38,2019-06-03,Ativa,
81,04.637.454/9904-53,Jaraguá do Sul,Norte Catarinense,Transporte e logística,MEI,Empresário Individual,10790.33,0,39657.49,2023-10-18,Ativa,
82,27.279.568/7833-91,Florianópolis,Grande Florianópolis,Comércio varejista,MEI,Empresário Individual,18539.01,1,59630.04,2024-08-20,Ativa,
83,39.718.707/2867-90,Itajaí,Vale do Itajaí,Tecnologia da informação,MEI,Empresário Individual,2173.4,0,51516.42,2020-04-04,Suspensa,
84,01.704.622/6567-66,Jaraguá do Sul,Norte Catarinense,Indústria têxtil e vestuário,MEI,Empresário Individual,5834.69,0,63460.51,2023-06-10,Ativa,
85,47.868.633/7524-31,Florianópolis,Grande Florianópolis,Indústria alimentícia,EPP,Sociedade Limitada,886731.26,44,2105180.33,2022-11-25,Ativa,
86,06.738.302/8439-59,Florianópolis,Grande Florianópolis,Saúde e bem-estar,ME,Sociedade Limitada,82128.57,2,246710.42,2021-09-12,Ativa,
87,26.870.568/5662-46,Lages,Serrana,Indústria têxtil e vestuário,MEI,Empresário Individual,19728.22,0,40535.65,2020-08-09,Ativa,
88,26.343.517/5183-04,Joinville,Norte Catarinense,Tecnologia da informação,MEI,Empresário Individual,17293.28,0,67598.56,2022-05-16,Ativa,
89,31.739.363/8546-78,Chapecó,Oeste Catarinense,Tecnologia da informação,MEI,Empresário Individual,16288.36,0,45078.2,2021-02-09,Ativa,
90,20.489.964/2353-69,Balneário Camboriú,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,2873.56,1,75088.8,2024-03-23,Ativa,
91,22.872.808/0100-62,São Bento do Sul,Norte Catarinense,Construção civil,ME,Sociedade Limitada,277176.22,8,350655.81,2021-11-20,Ativa,
92,00.886.008/4840-86,Rio do Sul,Vale do Itajaí,Alimentação e bebidas,ME,Sociedade Limitada,187006.52,6,97865.58,2021-06-14,Ativa,
93,67.933.410/1666-87,Concórdia,Oeste Catarinense,Imobiliário,MEI,Empresário Individual,3829.05,0,54764.88,2024-11-17,Ativa,
94,97.401.489/0250-39,Florianópolis,Grande Florianópolis,Comércio varejista,MEI,Empresário Individual,13253.24,1,79435.72,2023-11-13,Ativa,
95,21.850.163/1599-96,Joinville,Norte Catarinense,Agronegócio,EPP,Sociedade Limitada,1081279.11,25,2876129.88,2022-05-10,Ativa,
96,31.142.626/5511-04,Xanxerê,Oeste Catarinense,Alimentação e bebidas,ME,Sociedade Limitada,89848.44,9,201485.58,2024-07-02,Ativa,
97,60.466.183/9826-22,Criciúma,Sul Catarinense,Transporte e logística,MEI,Empresário Individual,9188.61,1,19127.21,2021-02-06,Ativa,
98,99.371.240/6596-57,Blumenau,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,6243.28,1,45411.96,2023-11-16,Ativa,
99,47.935.646/5193-98,Blumenau,Vale do Itajaí,Agronegócio,EPP,Sociedade Limitada,1693932.66,48,4565918.41,2020-07-11,Suspensa,
100,34.266.179/7968-86,Joinville,Norte Catarinense,Transporte e logística,MEI,Empresário Individual,9330.64,1,68508.62,2021-05-08,Baixada,2021-12-25
101,65.610.143/8889-93,Jaraguá do Sul,Norte Catarinense,Educação e treinamento,MEI,Empresário Individual,13125.43,0,65057.83,2025-08-29,Ativa,
102,25.457.387/5717-75,Criciúma,Sul Catarinense,Serviços profissionais,ME,Sociedade Limitada,62760.73,1,215693.13,2024-08-11,Suspensa,
103,67.362.266/0937-96,Florianópolis,Grande Florianópolis,Comércio varejista,ME,Sociedade Limitada,236789.47,3,340448.36,2022-11-06,Ativa,
104,59.696.915/5792-49,Chapecó,Oeste Catarinense,Indústria têxtil e vestuário,MEI,Empresário Individual,2933.29,0,37239.72,2025-06-22,Ativa,
105,27.828.274/2257-90,Lages,Serrana,Indústria têxtil e vestuário,MEI,Empresário Individual,3222.03,1,59847.12,2022-06-04,Ativa,
106,90.340.438/4279-78,Caçador,Oeste Catarinense,Indústria alimentícia,MEI,Empresário Individual,19312.75,1,40230.27,2023-04-22,Ativa,
107,40.745.171/3395-96,Itajaí,Vale do Itajaí,Tecnologia da informação,MEI,Empresário Individual,11298.82,0,49698.38,2023-02-11,Baixada,2025-10-31
108,81.260.422/3253-67,Joinville,Norte Catarinense,Comércio varejista,MEI,Empresário Individual,11831.41,1,53183.18,2019-09-01,Ativa,
109,75.901.751/8636-37,Joinville,Norte Catarinense,Saúde e bem-estar,ME,Sociedade Limitada,36430.7,2,193395.37,2024-01-26,Ativa,
110,70.127.706/3242-41,Blumenau,Vale do Itajaí,Agronegócio,MEI,Empresário Individual,11756.7,1,66392.95,2020-06-18,Suspensa,
111,37.129.387/0051-62,São José,Grande Florianópolis,Alimentação e bebidas,MEI,Empresário Individual,8530.49,1,62093.2,2019-08-01,Ativa,
112,21.890.927/5326-97,Itajaí,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,6953.68,1,21461.92,2020-02-27,Ativa,
113,89.994.043/8983-64,Rio do Sul,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,14870.17,1,78464.16,2025-08-11,Ativa,
114,52.696.582/7109-10,Balneário Camboriú,Vale do Itajaí,Educação e treinamento,ME,Sociedade Limitada,145059.95,4,220383.53,2024-07-20,Ativa,
115,14.183.285/6914-63,Blumenau,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,6443.27,1,41226.69,2024-09-06,Ativa,
116,27.588.425/2410-56,Florianópolis,Grande Florianópolis,Comércio varejista,MEI,Empresário Individual,12567.82,1,63176.85,2025-11-12,Ativa,
117,19.138.000/3075-62,Blumenau,Vale do Itajaí,Comércio varejista,ME,Sociedade Limitada,183651.65,9,181474.57,2019-11-12,Suspensa,
118,02.380.617/4451-87,Joinville,Norte Catarinense,Indústria alimentícia,MEI,Empresário Individual,7114.24,1,75193.98,2021-07-08,Ativa,
119,32.060.385/0506-41,Florianópolis,Grande Florianópolis,Comércio varejista,ME,Sociedade Limitada,94904.4,6,246081.77,2025-12-25,Ativa,
120,71.918.261/9906-23,Joinville,Norte Catarinense,Beleza e estética,MEI,Empresário Individual,14521.4,0,15029.12,2020-08-06,Ativa,
121,12.775.618/5374-74,Blumenau,Vale do Itajaí,Turismo e hotelaria,Média,Sociedade Anônima Fechada,16584828.24,119,15359227.44,2022-08-29,Ativa,
122,44.206.788/3171-21,Rio do Sul,Vale do Itajaí,Comércio varejista,EPP,Sociedade Limitada,539064.35,30,1018557.66,2025-10-07,Ativa,
123,10.137.215/1070-29,Florianópolis,Grande Florianópolis,Agronegócio,Grande,Sociedade Anônima,413599973.44,1012,358828367.92,2021-03-22,Ativa,
124,93.476.870/1462-63,Criciúma,Sul Catarinense,Transporte e logística,MEI,Empresário Individual,4283.34,0,74672.99,2023-10-14,Ativa,
125,20.593.040/7859-32,Balneário Camboriú,Vale do Itajaí,Educação e treinamento,MEI,Empresário Individual,19798.67,1,49571.73,2019-03-21,Baixada,2022-02-25
126,59.059.929/3784-27,Florianópolis,Grande Florianópolis,Saúde e bem-estar,MEI,Empresário Individual,11938.15,1,36481.52,2021-06-17,Ativa,
127,50.029.218/5156-91,Florianópolis,Grande Florianópolis,Comércio varejista,ME,Sociedade Limitada,177296.15,6,337093.04,2024-11-26,Ativa,
128,92.644.220/9690-29,Blumenau,Vale do Itajaí,Alimentação e bebidas,Média,Sociedade Anônima Fechada,32809833.02,94,36764668.04,2024-06-18,Ativa,
129,15.704.331/5410-06,Blumenau,Vale do Itajaí,Educação e treinamento,ME,Sociedade Limitada,337840.73,3,173395.99,2020-03-02,Suspensa,
130,32.710.405/4115-26,Criciúma,Sul Catarinense,Serviços profissionais,MEI,Empresário Individual,17753.64,1,49675.65,2024-07-12,Ativa,
131,62.015.336/8844-43,Joinville,Norte Catarinense,Comércio varejista,Média,Sociedade Anônima Fechada,30107496.66,207,45173823.0,2022-10-16,Ativa,
132,32.417.146/7741-86,Florianópolis,Grande Florianópolis,Serviços profissionais,MEI,Empresário Individual,2035.59,0,18046.36,2020-09-21,Baixada,2023-05-14
133,15.869.380/6868-79,Joinville,Norte Catarinense,Imobiliário,MEI,Empresário Individual,6002.62,1,27610.72,2019-07-02,Baixada,2021-03-22
134,32.061.632/9451-16,Gaspar,Vale do Itajaí,Construção civil,MEI,Empresário Individual,11853.18,0,20299.45,2024-08-18,Ativa,
135,91.191.485/6467-99,Jaraguá do Sul,Norte Catarinense,Tecnologia da informação,EPP,Sociedade Limitada,4432198.88,10,2968837.83,2024-02-20,Ativa,
136,45.054.447/1324-75,Itajaí,Vale do Itajaí,Comércio varejista,MEI,Empresário Individual,13935.44,1,14675.99,2025-10-29,Suspensa,
137,21.486.289/0233-03,Blumenau,Vale do Itajaí,Serviços profissionais,ME,Sociedade Limitada,83986.68,7,287723.6,2023-12-15,Ativa,
138,97.279.855/2414-06,Florianópolis,Grande Florianópolis,Comércio varejista,MEI,Empresário Individual,7998.69,1,46853.72,2022-01-27,Ativa,
139,07.229.034/9446-65,Florianópolis,Grande Florianópolis,Turismo e hotelaria,ME,Sociedade Limitada,236582.96,4,156074.32,2021-06-25,Ativa,
140,94.417.154/5444-32,Criciúma,Sul Catarinense,Comércio varejista,MEI,Empresário Individual,8545.9,0,47294.45,2025-12-29,Ativa,
141,60.993.538/7584-28,Itajaí,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,13550.08,0,61768.54,2023-07-14,Suspensa,
142,46.554.947/1709-99,Joinville,Norte Catarinense,Comércio varejista,MEI,Empresário Individual,15495.45,0,77337.71,2025-04-08,Ativa,
143,72.521.752/5007-43,Florianópolis,Grande Florianópolis,Imobiliário,MEI,Empresário Individual,6668.76,0,72088.59,2024-12-10,Ativa,
144,50.583.003/3542-16,Tubarão,Sul Catarinense,Comércio varejista,ME,Sociedade Limitada,55292.09,7,-1,2019-12-27,Baixada,2023-10-14
145,57.532.603/3230-98,Itajaí,Vale do Itajaí,Alimentação e bebidas,MEI,Empresário Individual,19020.8,1,62220.4,2022-05-06,Ativa,
146,00.167.618/4723-04,Joinville,Norte Catarinense,Serviços profissionais,ME,Sociedade Limitada,316790.45,5,296178.66,2023-03-17,Ativa,
147,17.393.483/5642-08,Criciúma,Sul Catarinense,Comércio varejista,MEI,Empresário Individual,14313.8,1,69315.04,2025-10-16,Suspensa,
148,81.143.744/7012-04,Itajaí,Vale do Itajaí,Comércio varejista,Média,Sociedade Anônima Fechada,1134161.95,221,8822928.35,2021-08-18,Ativa,
149,94.155.216/6746-76,Chapecó,Oeste Catarinense,Indústria têxtil e vestuário,MEI,Empresário Individual,17173.67,0,12667.39,2020-01-25,Ativa,
150,02.771.670/1450-89,Balneário Camboriú,Vale do Itajaí,Educação e treinamento,MEI,Empresário Individual,2970.55,1,67356.27,2020-10-14,Ativa,
151,62.890.028/7721-75,Palhoça,Grande Florianópolis,Alimentação e bebidas,Média,Sociedade Anônima Fechada,26632055.59,229,32744403.53,2024-10-27,Ativa,
152,77.517.016/6088-01,Joinville,Norte Catarinense,Beleza e estética,MEI,Empresário Individual,13223.03,1,68380.13,2025-03-04,Ativa,
153,99.757.113/0554-88,Navegantes,Vale do Itajaí,Indústria alimentícia,ME,Sociedade Limitada,82397.94,8,182372.55,2025-04-22,Ativa,
154,35.160.917/7982-70,Chapecó,Oeste Catarinense,Comércio varejista,EPP,Sociedade Limitada,4008963.65,36,1489044.54,2020-07-29,Baixada,2021-06-03
155,69.958.669/3465-47,Jaraguá do Sul,Norte Catarinense,Comércio varejista,Média,Sociedade Anônima Fechada,46294172.82,249,46436536.59,2024-06-01,Suspensa,
156,45.228.851/5879-96,Concórdia,Oeste Catarinense,Comércio varejista,ME,Sociedade Limitada,305076.05,9,279612.95,2022-05-09,Baixada,2024-05-10
157,44.204.380/5719-83,São José,Grande Florianópolis,Imobiliário,MEI,Empresário Individual,10931.87,0,38280.05,2019-02-22,Ativa,
158,43.973.598/9334-72,Brusque,Vale do Itajaí,Tecnologia da informação,MEI,Empresário Individual,18603.21,1,40743.07,2019-07-12,Ativa,
159,20.259.094/7985-15,Joaçaba,Oeste Catarinense,Comércio varejista,Média,Sociedade Anônima Fechada,19482713.13,159,29958257.65,2020-05-03,Baixada,2022-02-23
160,98.780.157/3993-05,Itajaí,Vale do Itajaí,Indústria alimentícia,MEI,Empresário Individual,8902.69,1,36108.8,2020-10-14,Baixada,2021-07-19
161,04.358.112/8801-33,Chapecó,Oeste Catarinense,Educação e treinamento,MEI,Empresário Individual,14755.54,0,74882.18,2025-01-21,Ativa,
162,48.193.466/7665-06,Caçador,Oeste Catarinense,Serviços profissionais,MEI,Empresário Individual,13284.66,0,22609.07,2023-11-18,Ativa,
163,49.147.660/7283-26,São José,Grande Florianópolis,Tecnologia da informação,ME,Sociedade Limitada,274586.21,1,276546.09,2019-09-17,Suspensa,
164,99.688.143/5368-22,Navegantes,Vale do Itajaí,Agronegócio,MEI,Empresário Individual,13868.49,,78060.02,2022-05-05,Ativa,
165,41.413.975/5231-49,Joinville,Norte Catarinense,Saúde e bem-estar,MEI,Empresário Individual,13748.58,0,70745.75,2021-01-12,Ativa,
166,33.645.257/7754-78,,Não informada,Comércio varejista,MEI,Empresário Individual,13529.02,0,51023.09,2025-11-29,Ativa,
167,80.996.930/8488-72,Florianópolis,Grande Florianópolis,Saúde e bem-estar,MEI,Empresário Individual,17934.64,0,30163.19,2020-07-27,Ativa,
168,92.827.229/9275-03,Chapecó,Oeste Catarinense,Alimentação e bebidas,ME,Sociedade Limitada,,9,106264.57,2020-07-02,Ativa,
169,18.449.892/6659-18,Tubarão,Sul Catarinense,Alimentação e bebidas,MEI,Empresário Individual,13703.13,1,38778.42,2019-06-25,Ativa,
170,23.184.322/2591-36,Joinville,Norte Catarinense,Beleza e estética,MEI,Empresário Individual,16527.5,1,45593.45,2022-12-16,Ativa,
171,80.920.242/8699-04,Concórdia,Oeste Catarinense,Transporte e logística,MEI,Empresário Individual,5003.38,,69502.18,2024-05-16,Ativa,
172,25.799.136/6210-38,Canoinhas,Norte Catarinense,Comércio varejista,ME,Sociedade Limitada,69698.37,7,120816.69,2024-05-26,Ativa,
173,17.298.068/6508-63,Rio do Sul,Vale do Itajaí,Construção civil,MEI,Empresário Individual,2829.67,1,74210.97,2025-10-16,Ativa,
174,98.643.009/8180-63,Araranguá,Sul Catarinense,Construção civil,ME,Sociedade Limitada,291617.36,2,199711.54,2025-08-09,Ativa,
175,63.688.725/8874-49,São José,Grande Florianópolis,Alimentação e bebidas,MEI,Empresário Individual,13379.94,1,30029.9,2023-10-12,Ativa,
176,02.601.279/6114-35,Blumenau,Vale do Itajaí,Indústria têxtil e vestuário,ME,Sociedade Limitada,166308.21,3,108977.73,2021-07-30,Ativa,
177,70.384.309/8839-20,Florianópolis,Grande Florianópolis,Comércio varejista,MEI,Empresário Individual,13467.33,1,61100.8,2025-11-19,Ativa,
178,18.489.554/3937-69,Blumenau,Vale do Itajaí,Saúde e bem-estar,Média,Sociedade Anônima Fechada,39203971.07,140,-1,2022-02-04,Ativa,
179,76.973.577/9071-41,Florianópolis,Grande Florianópolis,Comércio varejista,MEI,Empresário Individual,10560.21,1,67403.01,2019-10-24,Baixada,2020-09-17
180,51.827.553/9423-73,Chapecó,Oeste Catarinense,Educação e treinamento,MEI,Empresário Individual,8836.09,,47638.79,2022-07-17,Ativa,
